departement,annee,sau,part_sau,exploitations,sau_m_ha
85,1988,507129,74.9,17224,29.44
85,2000,483306,71.39,10373,46.59
85,2010,470250,69.46,6182,76.07
85,2020,466881.05,68.96,4911,95.07
86,1970,488638,69.45,20441,23.9
86,1979,486727,69.17,15046,32.35
86,1988,480346,68.27,12147,39.54
86,2000,480569,68.3,7444,64.56
86,2010,474240,67.4,5160,91.91
86,2020,471017.42,66.94,4044,116.47
87,1970,337802,60.8,15315,22.06
87,1979,333617,60.05,12276,27.18
87,1988,315786,56.84,10418,30.31
87,2000,304912,54.88,6546,46.58
87,2010,291348,52.44,4815,60.51
87,2020,286006.17,51.48,3604,79.36
88,1970,230107,39.02,13146,17.5
88,1979,226899,38.48,9960,22.78
88,1988,219618,37.24,7465,29.42
88,2000,218370,37.03,4440,49.18
88,2010,221611,37.58,3198,69.3
88,2020,219505.84,37.22,2136,102.76
89,1970,420237,56.25,10909,38.52
89,1979,428277,57.33,8988,47.65
89,1988,424683,56.85,7249,58.59
89,2000,419410,56.14,5083,82.51
89,2010,417276,55.85,4274,97.63
89,2020,416101.11,55.7,3639,114.34
90,1970,23510,38.51,1761,13.35
90,1979,21745,35.62,1362,15.97
90,1988,20623,33.78,1011,20.4
90,2000,20547,33.66,616,33.36
90,2010,20215,33.12,445,45.43
90,2020,19690.48,32.26,248,79.4
91,1970,97128,53.37,2523,38.5
91,1979,91905,50.5,2059,44.64
91,1988,90214,49.57,1710,52.76
91,2000,87819,48.25,1109,79.19
91,2010,84144,46.24,763,110.28
91,2020,83077.63,45.65,665,124.93
92,1970,536,3.05,167,3.21
92,1979,249,1.42,63,3.95
92,1988,66,0.38,36,1.83
92,2000,34,0.19,24,1.42
92,2010,13,0.07,9,1.44
92,2020,4.6000000000000005,0.03,6,0.77
93,1970,3158,13.34,382,8.27
93,1979,1677,7.08,197,8.51
93,1988,1309,5.53,105,12.47
93,2000,944,3.99,59,16
93,2010,887,3.75,29,30.59
93,2020,526.81,2.22,16,32.93
94,1970,3029,12.37,420,7.21
94,1979,1843,7.53,275,6.7
94,1988,1346,5.5,189,7.12
94,2000,1165,4.76,108,10.79
94,2010,998,4.08,53,18.83
94,2020,1037.63,4.24,41,25.31
