code,nb_exp,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
64,24261,3609,032,3817,678,5112,33,4962,097,6673,766,7085,216,6349,8463,7423,6725,8557,5012,9737,7791,11743,8673,13829,2552,15412,9863,17125,9679,18846,6538,20057,14459
65,10399,1261,537,1129,996,1250,287,1780,063,2339,997,2274,995,2255,8971,2635,539,4362,9725,5418,7231,6083,9612,8555,326,9291,2615,9668,123,10934,0514,10841,39111
66,29859,6476,6953,6728,7376,9247,779,9585,8437,11567,9583,12439,6713,13443,5636,13161,4696,16254,4515,17748,0577,19756,6608,20578,2758,25172,6515,26644,2884,28552,6724,27959,98038
67,21955,7189,355,7550,2641,9054,5605,9760,142,10821,4862,11198,944,11608,0567,11963,4593,13462,1825,14615,3911,15755,5403,17209,3927,19441,4831,22216,8953,23843,6429,23941,65744
68,15037,4193,876,4484,18,4570,16,5466,9504,6542,3904,6686,1791,7003,1928,6939,2001,7363,0892,8092,2349,9112,5469,10001,5987,11365,2469,12900,5652,13957,5574,14531,89283
69,23054,1751,4182,2147,4798,2754,0453,4859,8273,5849,5911,6712,4362,5763,1735,6008,5608,6778,6918,10501,7226,12220,955,13596,6456,15346,0766,17947,0092,19632,1052,20429,71558
70,15758,6520,835,6351,675,7695,362,10255,361,12736,917,13103,038,12999,077,13593,912,18166,38,22216,325,26560,395,27669,454,30621,322,33184,0494,34413,0841,34191,22185
71,15068,6115,1967,5900,996,5751,3217,6492,7407,7295,4464,7568,567,7854,4788,8004,9489,11698,4738,13675,9371,14557,2212,16624,1682,18598,0724,20247,0545,23204,674,23640,56606
72,17036,7131,6601,7440,4714,8453,6555,9480,5551,10021,1886,10637,05,10854,2346,11810,9285,12977,4698,15392,6846,16671,2274,19485,4824,20450,7273,22737,1061,22909,45601,23303,3147
73,6691,1481,986,1905,837,1852,452,2100,665,2240,4726,2799,886,4006,415,4130,2568,4308,316,3786,272,4161,5448,4515,0504,4971,2443,5701,2974,6024,4117,5758,305953
74,8661,1692,6718,1868,1928,2190,2475,2348,94,2947,2587,3014,9481,2911,7173,3034,4693,3932,2726,4417,1115,5421,8925,6133,1558,6735,9596,7488,2776,8140,6909,8502,455847
75,271,6,76,,,,298,83,204,4,,,,62,7,71,8301,217,451,304,13,87,669,90,993,95,3879
76,9591,1809,277,1916,821,2370,491,3091,108,3706,301,4123,799,3914,347,4046,18,3746,195,5337,9575,6712,2875,7641,3837,8795,8048,10263,881,11093,356,12064,63646
77,10789,1851,115,1946,857,2806,966,3148,735,3662,7384,3798,0385,4021,7501,4142,3231,4802,3063,5799,4465,6800,9342,11329,5044,14066,6718,16433,6084,18709,6114,21296,32154
78,5171,1005,128,1016,297,1278,258,1513,1596,1775,3696,1746,672,1996,4498,2385,62,2958,1844,3921,3704,4394,3374,5330,466,6710,309,8268,434,9075,81,9687,018526
